NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE
ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,10009,1,0,1,987,"2,183",1860,1,A4,"$4,844,809.00"
ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,10009,1,0,1,987,"2,183",1860,1,A4, $	-   
ALPHABET CITY,01 ONE FAMILY DWELLINGS,1,10009,1,0,1,"1,883","5,200",1900,1,A4,"$6,100,000.00"
ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,10009,2,0,2,"1,218","4,764",1899,1,B1, $	-   
ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,10009,2,0,2,"1,510","4,520",1900,1,B9, $	-   
ALPHABET CITY,02 TWO FAMILY DWELLINGS,1,10009,2,0,2,"1,510","4,520",1900,1,B9, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,20,2,22,"3,481","14,588",1930,2,C7,"$8,300,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,12,4,16,"4,186","10,588",1900,2,C7,"$10,350,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,18,0,18,"2,271","10,650",1910,2,C1,"$5,000,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,10009,4,0,4,"1,950","5,446",2001,2,C3,"$6,250,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,8,2,10,"1,642","5,220",1910,2,C4,"$2,400,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,17,0,17,"4,614","20,599",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,45,0,45,"9,234","49,799",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,35,0,35,"9,227","43,871",1900,2,C1, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,33,2,35,"4,740","19,980",1900,2,C7,"$17,250,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,12,0,12,"2,370","10,715",1900,2,C4,"$954,623.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,16,2,18,"4,650","27,000",1910,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,23,4,27,"7,347","14,696",1910,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,16,2,18,"1,934","8,700",1900,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,16,2,18,"1,934","8,700",1900,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,16,1,17,"1,933","8,699",1900,2,C7,"$5,000,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,16,1,17,"1,933","8,699",1900,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,28,2,30,"4,616","18,690",1900,2,C7,"$7,906,412.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,28,2,30,"4,616","18,690",1900,2,C7, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,8,1,9,"1,964","5,815",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,8,3,11,"2,364","7,166",1900,2,C7,"$3,000,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,20,1,21,"4,845","13,854",1900,2,C5,"$7,000,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,14,0,14,"2,271","6,794",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,9,1,10,"1,817","6,162",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,9,0,9,"1,817","6,150",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,8,2,10,"1,919","7,810",1900,2,C4,"$3,100,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2A,10009,4,0,4,"2,369","4,100",1900,2,C3,"$5,850,000.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2B,10009,10,0,10,"1,449","6,300",1900,2,C4, $	-   
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,14,0,14,"2,468","10,888",1900,2,C4,"$1,423,033.00"
ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS,2,10009,19,1,20,"3,622","11,951",1900,2,C7, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,44,0,44,"11,534","46,700",1900,2,D5, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,28,0,28,"7,050","30,750",1900,2,D5, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,33,0,33,"7,050","38,520",1920,2,D1, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,81,2,83,"14,076","71,334",1970,2,D6,"$82,000,000.00"
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,32,1,33,"6,815","20,382",1915,2,D3, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9, $	-   
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9,"$12,576,125.00"
ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS,2,10009,26,1,27,"5,163","29,960",2009,2,D9,"$12,423,875.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1920,2,C6,"$385,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1925,2,C6,"$445,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1925,2,C6,"$590,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1920,2,C6,"$385,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,10009,0,0,0,0,0,1900,2,C6, $	-   
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6, $	-   
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6, $	-   
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6,"$384,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1928,2,C6,"$350,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1928,2,C6,"$699,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2C,10009,0,0,0,0,0,1900,2,C6,"$900,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,2001,2,C6,"$619,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6,"$800,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1930,2,C6,"$455,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1930,2,C6,"$492,500.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1930,2,C6,"$479,500.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6,"$505,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6,"$690,000.00"
ALPHABET CITY,09 COOPS - WALKUP APARTMENTS,2,10009,0,0,0,0,0,1900,2,C6,"$505,000.00"
